[Log] Move left: Extra score - 597.6 Avg number of moves 55 (ai.js, line 39)
[Log] Move up: Extra score - 395.2 Avg number of moves 40.6 (ai.js, line 39)
[Log] Move down: Extra score - 463.2 Avg number of moves 44 (ai.js, line 39)
[Log] Move right: Extra score - 628 Avg number of moves 60 (ai.js, line 39)
[Log] Move up: Extra score - 466.4 Avg number of moves 45.4 (ai.js, line 39)
[Log] Move left: Extra score - 352 Avg number of moves 36.2 (ai.js, line 39)
[Log] Move up: Extra score - 408.8 Avg number of moves 36.6 (ai.js, line 39)
[Log] Move right: Extra score - 447.2 Avg number of moves 43 (ai.js, line 39)
[Log] Move left: Extra score - 369.6 Avg number of moves 36.8 (ai.js, line 39)
[Log] Move down: Extra score - 390.4 Avg number of moves 37.4 (ai.js, line 39)
[Log] Move left: Extra score - 404 Avg number of moves 40.8 (ai.js, line 39)
[Log] Move up: Extra score - 440 Avg number of moves 38.8 (ai.js, line 39)
[Log] Move down: Extra score - 402.4 Avg number of moves 40.4 (ai.js, line 39)
[Log] Move up: Extra score - 463.2 Avg number of moves 42.8 (ai.js, line 39)
[Log] Move down: Extra score - 418.4 Avg number of moves 38.2 (ai.js, line 39)
[Log] Move left: Extra score - 376 Avg number of moves 34.4 (ai.js, line 39)
[Log] Move up: Extra score - 674.4 Avg number of moves 53 (ai.js, line 39)
[Log] Move down: Extra score - 552 Avg number of moves 48.4 (ai.js, line 39)
[Log] Move left: Extra score - 376.8 Avg number of moves 36 (ai.js, line 39)
[Log] Move right: Extra score - 548.8 Avg number of moves 47.8 (ai.js, line 39)
[Log] Move up: Extra score - 436.8 Avg number of moves 37.6 (ai.js, line 39)
[Log] Move left: Extra score - 413.6 Avg number of moves 36.2 (ai.js, line 39)
[Log] Move down: Extra score - 458.4 Avg number of moves 38.4 (ai.js, line 39)
[Log] Move left: Extra score - 560 Avg number of moves 49.4 (ai.js, line 39)
[Log] Move left: Extra score - 492 Avg number of moves 41.6 (ai.js, line 39)
[Log] Move left: Extra score - 406.4 Avg number of moves 36.4 (ai.js, line 39)
[Log] Move down: Extra score - 478.4 Avg number of moves 43 (ai.js, line 39)
[Log] Move up: Extra score - 920 Avg number of moves 73.4 (ai.js, line 39)
[Log] Move left: Extra score - 671.2 Avg number of moves 56.8 (ai.js, line 39)
[Log] Move right: Extra score - 360.8 Avg number of moves 34.8 (ai.js, line 39)
[Log] Move right: Extra score - 525.6 Avg number of moves 46.6 (ai.js, line 39)
[Log] Move right: Extra score - 585.6 Avg number of moves 53.8 (ai.js, line 39)
[Log] Move right: Extra score - 390.4 Avg number of moves 37.2 (ai.js, line 39)
[Log] Move down: Extra score - 548.8 Avg number of moves 45.6 (ai.js, line 39)
[Log] Move left: Extra score - 532.8 Avg number of moves 45.2 (ai.js, line 39)
[Log] Move up: Extra score - 516 Avg number of moves 45.8 (ai.js, line 39)
[Log] Move down: Extra score - 558.4 Avg number of moves 53.6 (ai.js, line 39)
[Log] Move up: Extra score - 601.6 Avg number of moves 51.4 (ai.js, line 39)
[Log] Move right: Extra score - 511.2 Avg number of moves 45.2 (ai.js, line 39)
[Log] Move left: Extra score - 437.6 Avg number of moves 40 (ai.js, line 39)
[Log] Move down: Extra score - 376.8 Avg number of moves 38 (ai.js, line 39)
[Log] Move up: Extra score - 603.2 Avg number of moves 48 (ai.js, line 39)
[Log] Move right: Extra score - 606.4 Avg number of moves 47.2 (ai.js, line 39)
[Log] Move up: Extra score - 502.4 Avg number of moves 40.8 (ai.js, line 39)
[Log] Move down: Extra score - 312 Avg number of moves 38.8 (ai.js, line 39)
[Log] Move right: Extra score - 389.6 Avg number of moves 43 (ai.js, line 39)
[Log] Move right: Extra score - 387.2 Avg number of moves 43.2 (ai.js, line 39)
[Log] Move up: Extra score - 347.2 Avg number of moves 39.2 (ai.js, line 39)
[Log] Move up: Extra score - 365.6 Avg number of moves 39.2 (ai.js, line 39)
[Log] Move left: Extra score - 308.8 Avg number of moves 33.8 (ai.js, line 39)
[Log] Move down: Extra score - 356.8 Avg number of moves 39.8 (ai.js, line 39)
[Log] Move up: Extra score - 343.2 Avg number of moves 37.2 (ai.js, line 39)
[Log] Move right: Extra score - 448.8 Avg number of moves 41.4 (ai.js, line 39)
[Log] Move up: Extra score - 364.8 Avg number of moves 37.2 (ai.js, line 39)
[Log] Move right: Extra score - 395.2 Avg number of moves 34.4 (ai.js, line 39)
[Log] Move right: Extra score - 465.6 Avg number of moves 44.6 (ai.js, line 39)
[Log] Move down: Extra score - 596.8 Avg number of moves 46.6 (ai.js, line 39)
[Log] Move up: Extra score - 384.8 Avg number of moves 30.4 (ai.js, line 39)
[Log] Move up: Extra score - 319.2 Avg number of moves 31.6 (ai.js, line 39)
[Log] Move right: Extra score - 316.8 Avg number of moves 29.8 (ai.js, line 39)
[Log] Move down: Extra score - 306.4 Avg number of moves 29.6 (ai.js, line 39)
[Log] Move down: Extra score - 356 Avg number of moves 36.2 (ai.js, line 39)
[Log] Move right: Extra score - 380.8 Avg number of moves 32.4 (ai.js, line 39)
[Log] Move up: Extra score - 590.4 Avg number of moves 44 (ai.js, line 39)
[Log] Move up: Extra score - 488.8 Avg number of moves 40.6 (ai.js, line 39)
[Log] Move left: Extra score - 352.8 Avg number of moves 32.4 (ai.js, line 39)
[Log] Move down: Extra score - 501.6 Avg number of moves 43.8 (ai.js, line 39)
